"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","method_family_topics","method_family_keywords","data_source_topics","data_source_keywords","spatiotemporal_context_topics","spatiotemporal_context_keywords","screening_rule"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Adversarial Multitask Learning for Accurate Change Detection in Multi-Temporal Satellite Images","2026-04-16","published-online","10.1145/3808224","https://doi.org/10.1145/3808224","yes","深度学习与神经网络 | 时序与时空建模","CNN | change detection","遥感与地球观测数据","remote sensing | satellite imagery | Sentinel | Landsat","环境监测与灾害风险","environmental monitoring | disaster | climate","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Spatiotemporal Model Cards Enabling Future-Proof GeoAI Systems","2026-04-16","created-proxy","10.1145/3809183","https://doi.org/10.1145/3809183","yes","GeoAI 与基础模型 | 机器学习 | 时序与时空建模","GeoAI | LLM | machine learning | spatiotemporal","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","CLIFT: Cross-City Mobility-Derived Lifestyle Pattern Transfer for Improved Multi-City Next Location Prediction","2026-04-20","created-proxy","10.1145/3811037","https://doi.org/10.1145/3811037","yes","深度学习与神经网络","deep learning | transformer","轨迹与移动性数据","mobility data | human mobility","城市、区域与空间结构 | 环境监测与灾害风险","city | disaster","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Self-Supervised Contrastive Learning for Individual and Collective Outlier Detection in Semantic Trajectories","2026-04-24","published-online","10.1145/3809184","https://doi.org/10.1145/3809184","yes","GeoAI 与基础模型 | 时序与时空建模","contrastive learning | spatiotemporal","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Bond-Aware Moving Clusters of Atomic Trajectories with Relaxed Persistency","2026-04-25","published-online","10.1145/3804446","https://doi.org/10.1145/3804446","yes","时序与时空建模","spatio-temporal","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","PathletRL++: Optimizing Trajectory Pathlet Extraction and Dictionary Formation via Reinforcement Learning","2026-04-25","published-online","10.1145/3801963","https://doi.org/10.1145/3801963","yes","仿真、优化与强化学习","reinforcement learning","轨迹与移动性数据","trajectory","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Progressive and Scalable Hotspot Detection through Local K-Function in Spatial Networks","2026-04-25","published-online","10.1145/3766549","https://doi.org/10.1145/3766549","yes","机器学习","clustering","街景、社交感知与众包数据","geotagged","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","A Parallel Scale-Space Method for Critical Features Tracking on Triangulated Irregular Networks","2026-04-29","published-online","10.1145/3812549","https://doi.org/10.1145/3812549","yes","遥感视觉与影像分析","point cloud","基础地理与城市数据库","digital elevation model","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Annals of the American Association of Geographers","AAG","2469-4452","Creating and Playing Geopolitics in War Simulation Games","2026-04-20","published-online","10.1080/24694452.2026.2650449","https://doi.org/10.1080/24694452.2026.2650449","no","仿真、优化与强化学习","simulation","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Annals of the American Association of Geographers","AAG","2469-4452","GWRBoost: A Geographically Weighted Gradient Boosting Framework for Enhanced Explainable Quantification of Spatially Varying Relationships","2026-04-24","published-online","10.1080/24694452.2026.2648327","https://doi.org/10.1080/24694452.2026.2648327","no","机器学习 | 空间统计与空间计量","gradient boosting | GWR","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Annals of the American Association of Geographers","AAG","2469-4452","How Geospatial Effects Can Affect Predictive Learning: A Novel Predictability Framework Consisting of Geographic Entropy and Knowledge Graph","2026-04-29","published-online","10.1080/24694452.2026.2654479","https://doi.org/10.1080/24694452.2026.2654479","no","图模型与网络方法","graph | knowledge graph","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Annals of the American Association of Geographers","AAG","2469-4452","Spatial Context as a Time-Invariant Confounder: A Fixed-Effects Extension of MGWR","2026-04-30","published-online","10.1080/24694452.2026.2654481","https://doi.org/10.1080/24694452.2026.2654481","no","空间统计与空间计量","GWR | MGWR","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","A novel GCN-based framework for uncovering diurnal patterns and drivers of the surface urban heat island (SUHI) in hyper-dense cities","2026-04-01","created-proxy","10.1016/j.apgeog.2026.103993","https://doi.org/10.1016/j.apgeog.2026.103993","no","图模型与网络方法","GCN","","","环境监测与灾害风险","heat","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Plant hardiness zone mapping for the conterminous USA using the Empirical Bayesian Kriging Regression Prediction method","2026-04-01","published","10.1016/j.apgeog.2026.103927","https://doi.org/10.1016/j.apgeog.2026.103927","no","空间统计与空间计量","kriging","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Prioritizing climate action maximizes synergies among global environmental SDGs: A causal network analysis","2026-04-01","published","10.1016/j.apgeog.2026.103938","https://doi.org/10.1016/j.apgeog.2026.103938","no","图模型与网络方法","network analysis","","","环境监测与灾害风险","climate","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Revisiting the gravity model: A multi-level comparison of physical and virtual flows among 296 Chinese cities","2026-04-11","created-proxy","10.1016/j.apgeog.2026.104011","https://doi.org/10.1016/j.apgeog.2026.104011","no","空间交互与移动性模型","gravity model","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Geospatial modeling of employment driven population dynamics: An integrated GeoAI and explainable machine learning approach for regional resource management","2026-04-13","created-proxy","10.1016/j.apgeog.2026.103984","https://doi.org/10.1016/j.apgeog.2026.103984","no","GeoAI 与基础模型 | 机器学习","GeoAI | machine learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Unraveling spatiotemporal inequalities and nonlinear drivers in the sustainable transition of cultivated land use: Evidence from the Yangtze River Delta region, China","2026-04-25","created-proxy","10.1016/j.apgeog.2026.104028","https://doi.org/10.1016/j.apgeog.2026.104028","no","时序与时空建模","spatiotemporal","基础地理与城市数据库","land use","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Integrated machine learning segmentation and 3D change detection for a scalable coastal cliff monitoring workflow","2026-04-01","created-proxy","10.1016/j.cageo.2026.106165","https://doi.org/10.1016/j.cageo.2026.106165","no","机器学习 | 时序与时空建模","machine learning | change detection","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Intelligent characterization of fractures using 3D point clouds of outcrops generated from 2D photos","2026-04-01","published","10.1016/j.cageo.2026.106136","https://doi.org/10.1016/j.cageo.2026.106136","no","遥感视觉与影像分析","point cloud","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Anisotropic resistivity inversion and multiple core data assimilation using physics-guided neural network for improved petrophysical interpretation and uncertainty quantification","2026-04-04","created-proxy","10.1016/j.cageo.2026.106167","https://doi.org/10.1016/j.cageo.2026.106167","no","深度学习与神经网络","neural network","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Synergistic Mamba-Transformer fusion for high-fidelity land cover classification from multi-modal remote sensing imagery","2026-04-08","created-proxy","10.1016/j.cageo.2026.106169","https://doi.org/10.1016/j.cageo.2026.106169","no","机器学习 | 深度学习与神经网络","classification | transformer","遥感与地球观测数据 | 基础地理与城市数据库","remote sensing | land cover","","","Must match at least one method_family keyword in Crossref title or abstract"
