"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","method_family_topics","method_family_keywords","data_source_topics","data_source_keywords","spatiotemporal_context_topics","spatiotemporal_context_keywords","screening_rule"
"2025-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","TrajLearn: Trajectory Prediction Learning using Deep Generative Models","2025-04-10","created-proxy","10.1145/3729226","https://doi.org/10.1145/3729226","yes","深度学习与神经网络","deep learning","轨迹与移动性数据","trajectory","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Distributed MobilityDB: A Scalable Moving Object Database Management System","2025-04-11","published-online","10.1145/3719202","https://doi.org/10.1145/3719202","yes","时序与时空建模","spatiotemporal","轨迹与移动性数据","trajectory","环境监测与灾害风险","environmental monitoring","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","HierGP: Hierarchical Grid Partitioning for Scalable Geospatial Data Analytics","2025-04-11","published-online","10.1145/3699511","https://doi.org/10.1145/3699511","yes","时序与时空建模","spatiotemporal","","","环境监测与灾害风险","climate","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Scaling Terrain-Aware Spatial Machine Learning for Flood Mapping on Large Scale Earth Imagery Data","2025-04-11","published-online","10.1145/3703157","https://doi.org/10.1145/3703157","yes","机器学习 | 图模型与网络方法","machine learning | graph","基础地理与城市数据库","DEM | digital elevation model","空间尺度、依赖与异质性 | 环境监测与灾害风险","adjacency | disaster | flood","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","MV-STGCN: Multi-view Spatial-Temporal Graph Convolutional Networks for On-Street Parking Availability Prediction","2025-04-23","created-proxy","10.1145/3732286","https://doi.org/10.1145/3732286","yes","深度学习与神经网络 | 图模型与网络方法 | 时序与时空建模","neural network | RNN | recurrent neural network | graph | graph convolutional network | GCN | time series | forecasting","","","城市、区域与空间结构","city","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Assessing spatiotemporal dynamics of sustainable development goals on the Qinghai-Tibet plateau","2025-04-01","published","10.1016/j.apgeog.2025.103557","https://doi.org/10.1016/j.apgeog.2025.103557","no","时序与时空建模","spatiotemporal","","","时间尺度与动态过程","temporal dynamics","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","地理学与 GIScience","Applied Geography","APG","0143-6228","Carbon emissions and government interventions in urban agglomerations of China: An integrated GWR and neural network approach","2025-04-29","created-proxy","10.1016/j.apgeog.2025.103645","https://doi.org/10.1016/j.apgeog.2025.103645","no","深度学习与神经网络 | 空间统计与空间计量","neural network | GWR","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","地图学与地理信息","Cartography and Geographic Information Science","CaGIS","1545-0465","Geography for AI sustainability and sustainability for GeoAI","2025-04-03","published-online","10.1080/15230406.2025.2479796","https://doi.org/10.1080/15230406.2025.2479796","no","GeoAI 与基础模型","GeoAI","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","地图学与地理信息","Cartography and Geographic Information Science","CaGIS","1545-0465","Construction of a small-scale relief shading neural network model based on the attention mechanism","2025-04-07","published-online","10.1080/15230406.2025.2484209","https://doi.org/10.1080/15230406.2025.2484209","no","深度学习与神经网络","neural network | attention mechanism","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Deep learning contribution to the automatic picking of surface-wave dispersion for the characterization of railway earthworks","2025-04-01","published","10.1016/j.cageo.2025.105883","https://doi.org/10.1016/j.cageo.2025.105883","no","深度学习与神经网络","deep learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Efficient computation on large regular grids of higher-order spatial statistics via fast Fourier transform","2025-04-01","published","10.1016/j.cageo.2025.105878","https://doi.org/10.1016/j.cageo.2025.105878","no","空间统计与空间计量","spatial statistics","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","OPTIM: A Python-based optimization framework for geophysical problems","2025-04-11","created-proxy","10.1016/j.cageo.2025.105930","https://doi.org/10.1016/j.cageo.2025.105930","no","仿真、优化与强化学习","optimization","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-04","计算地理与城市系统","Computers, Environment and Urban Systems","CEUS","0198-9715","Analyzing usage patterns from video data through deep learning: The case of an urban park","2025-04-01","published","10.1016/j.compenvurbsys.2024.102229","https://doi.org/10.1016/j.compenvurbsys.2024.102229","no","深度学习与神经网络","deep learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
