"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","method_family_topics","method_family_keywords","data_source_topics","data_source_keywords","spatiotemporal_context_topics","spatiotemporal_context_keywords","screening_rule"
"2026-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","SCANNER+: Neighborhood-based self-enrichment approach for traffic speed prediction","2026-02-21","published-online","10.1145/3797479","https://doi.org/10.1145/3797479","yes","深度学习与神经网络 | 图模型与网络方法 | 时序与时空建模","deep learning | road network | spatio-temporal","基础地理与城市数据库","road network","时间尺度与动态过程 | 城市、区域与空间结构","temporal dynamics | neighborhood","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","UAS Path Planning with Dynamic Rerouting using a Space-Time Graph","2026-02-23","published-online","10.1145/3798098","https://doi.org/10.1145/3798098","yes","图模型与网络方法 | 时序与时空建模 | 仿真、优化与强化学习","graph | space-time | simulation","轨迹与移动性数据","trajectory","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","SpaRAGraph: Spatial Reasoning using Retrieval-Augmented Generation","2026-02-26","created-proxy","10.1145/3799424","https://doi.org/10.1145/3799424","yes","GeoAI 与基础模型 | 机器学习 | 图模型与网络方法","large language model | LLM | classification | graph","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","Leveraging convolutional and graph networks for an unsupervised remote sensing labelling tool","2026-02-03","published-online","10.1080/19475683.2026.2626395","https://doi.org/10.1080/19475683.2026.2626395","no","图模型与网络方法","graph","遥感与地球观测数据","remote sensing","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","A two-stage GIS-based EWM–AHP and Monte Carlo simulation framework for land suitability modelling in estate crop planning in tropical regions","2026-02-08","published-online","10.1080/19475683.2026.2617190","https://doi.org/10.1080/19475683.2026.2617190","no","仿真、优化与强化学习","simulation","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","The role of open-source LLMs in shaping the future of GeoAI","2026-02-12","published-online","10.1080/19475683.2026.2630753","https://doi.org/10.1080/19475683.2026.2630753","no","GeoAI 与基础模型","GeoAI","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Annals of the American Association of Geographers","AAG","2469-4452","Referencing, Internalizing, or Activating Knowledge: A Comparative Analysis of Strategies for Enhancing LLM Performance in Cartography","2026-02-12","published-online","10.1080/24694452.2026.2617563","https://doi.org/10.1080/24694452.2026.2617563","no","GeoAI 与基础模型","LLM","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Decoding urban park use patterns from a day–night disparity perspective: Evidence from Nanjing using machine learning","2026-02-01","published","10.1016/j.apgeog.2025.103885","https://doi.org/10.1016/j.apgeog.2025.103885","no","机器学习","machine learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Evaluating child-friendly walkability using eye-level street view imagery and machine learning: A case study in Qingdao, China","2026-02-04","created-proxy","10.1016/j.apgeog.2026.103923","https://doi.org/10.1016/j.apgeog.2026.103923","no","机器学习","machine learning","街景、社交感知与众包数据","street view","","","Must match at least one method_family keyword in Crossref title or abstract"
"2026-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Plant hardiness zone mapping for the conterminous USA using the Empirical Bayesian Kriging Regression Prediction method","2026-02-07","created-proxy","10.1016/j.apgeog.2026.103927","https://doi.org/10.1016/j.apgeog.2026.103927","no","空间统计与空间计量","kriging","","","","","Must match at least one method_family keyword in Crossref title or abstract"
