"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","method_family_topics","method_family_keywords","data_source_topics","data_source_keywords","spatiotemporal_context_topics","spatiotemporal_context_keywords","screening_rule"
"2025-08","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","End-to-end Trajectory Generation - Contrasting Deep Generative Models and Language Models","2025-08-25","published-online","10.1145/3716892","https://doi.org/10.1145/3716892","yes","深度学习与神经网络 | 时序与时空建模 | 仿真、优化与强化学习","neural network | spatiotemporal | optimization","轨迹与移动性数据","trajectory","城市、区域与空间结构","urban analytics","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","TorchGeo: Deep Learning With Geospatial Data","2025-08-25","published-online","10.1145/3707459","https://doi.org/10.1145/3707459","yes","GeoAI 与基础模型 | 深度学习与神经网络","transfer learning | deep learning | neural network","遥感与地球观测数据","remote sensing | satellite imagery | multispectral | Sentinel","环境监测与灾害风险","disaster | climate","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Urban Traffic Simulation with Shared Mobility Services: An Approach Using Spatiotemporal Network Kernel Density Estimation and MATSim","2025-08-25","published-online","10.1145/3704918","https://doi.org/10.1145/3704918","yes","图模型与网络方法 | 时序与时空建模 | 仿真、优化与强化学习","road network | spatiotemporal | simulation | reinforcement learning","基础地理与城市数据库","road network","城市、区域与空间结构","city","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","GeoAI enabled urban computing: status and challenges","2025-08-26","published-online","10.1080/19475683.2025.2552152","https://doi.org/10.1080/19475683.2025.2552152","no","GeoAI 与基础模型","GeoAI","","","城市、区域与空间结构","urban computing","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","Rangeland degradation and bush encroachment assessment using machine learning approaches in a semi-arid nature reserve","2025-08-27","published-online","10.1080/19475683.2025.2552158","https://doi.org/10.1080/19475683.2025.2552158","no","机器学习","machine learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Disentangling complex relationships between urban land use characteristics and energy usage through explainable machine learning model","2025-08-01","created-proxy","10.1016/j.apgeog.2025.103736","https://doi.org/10.1016/j.apgeog.2025.103736","no","机器学习","machine learning","基础地理与城市数据库","land use","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Dynamic changes of the complex coupling relationships between ecosystem services and socio-ecological factors and the impact of human activities: Insights from network analysis","2025-08-01","published","10.1016/j.apgeog.2025.103671","https://doi.org/10.1016/j.apgeog.2025.103671","no","图模型与网络方法","network analysis","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Measuring cluster interactions through in-between areas in epidemic spatiotemporal dynamics","2025-08-01","published","10.1016/j.apgeog.2025.103688","https://doi.org/10.1016/j.apgeog.2025.103688","no","时序与时空建模","spatiotemporal","","","时间尺度与动态过程","temporal dynamics","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Revealing the spatiotemporal pattern of urban vibrancy at the urban agglomeration scale: Evidence from the Pearl River Delta, China","2025-08-01","published","10.1016/j.apgeog.2025.103694","https://doi.org/10.1016/j.apgeog.2025.103694","no","时序与时空建模","spatiotemporal","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Understanding the spatial distribution and nonlinear drivers of the diurnal surface temperature range: Insights from ECOSTRESS and explainable machine learning","2025-08-01","published","10.1016/j.apgeog.2025.103672","https://doi.org/10.1016/j.apgeog.2025.103672","no","机器学习","machine learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Coca cultivation and deforestation in the Peruvian Amazon: A multiscale analysis using spatial regression models","2025-08-18","created-proxy","10.1016/j.apgeog.2025.103742","https://doi.org/10.1016/j.apgeog.2025.103742","no","空间统计与空间计量","spatial regression","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理学与 GIScience","Applied Geography","APG","0143-6228","Who you are versus where you are: Revealing the importance of determinants of within-city income inequality in China through an interpretable machine learning approach","2025-08-25","created-proxy","10.1016/j.apgeog.2025.103759","https://doi.org/10.1016/j.apgeog.2025.103759","no","机器学习","machine learning","","","城市、区域与空间结构","city","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地图学与地理信息","Cartography and Geographic Information Science","CaGIS","1545-0465","MapLayNet: map layout representation learning using weakly supervised structure-aware graph neural networks","2025-08-12","published-online","10.1080/15230406.2025.2533316","https://doi.org/10.1080/15230406.2025.2533316","no","深度学习与神经网络 | 图模型与网络方法","neural network | graph | graph neural network","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地图学与地理信息","Cartography and Geographic Information Science","CaGIS","1545-0465","A spatiotemporal risk assessment approach for respiratory infectious diseases based on probabilistic space-time prisms","2025-08-28","published-online","10.1080/15230406.2025.2541836","https://doi.org/10.1080/15230406.2025.2541836","no","时序与时空建模","spatiotemporal | space-time","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地图学与地理信息","Cartography and Geographic Information Science","CaGIS","1545-0465","Modeling intra-city functional regions through spatial interaction analysis: a case study of Chicago","2025-08-28","published-online","10.1080/15230406.2025.2542505","https://doi.org/10.1080/15230406.2025.2542505","no","空间交互与移动性模型","spatial interaction","","","城市、区域与空间结构","city","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Research on hyperspectral remote sensing alteration mineral mapping using an improved ViT model","2025-08-09","created-proxy","10.1016/j.cageo.2025.106037","https://doi.org/10.1016/j.cageo.2025.106037","no","遥感视觉与影像分析","hyperspectral","遥感与地球观测数据","remote sensing | hyperspectral","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Short-term earthquake forecasting using electromagnetic and geoacoustic observations via contrastive learning","2025-08-20","created-proxy","10.1016/j.cageo.2025.106024","https://doi.org/10.1016/j.cageo.2025.106024","no","GeoAI 与基础模型 | 时序与时空建模","contrastive learning | forecasting","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","EffiSeisM: An efficient multi-task deep learning model for earthquake monitoring","2025-08-22","created-proxy","10.1016/j.cageo.2025.106039","https://doi.org/10.1016/j.cageo.2025.106039","no","深度学习与神经网络","deep learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","SmartMagDL: Smartphone geomagnetic mapping using deep learning","2025-08-23","created-proxy","10.1016/j.cageo.2025.106040","https://doi.org/10.1016/j.cageo.2025.106040","no","深度学习与神经网络","deep learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers & Geosciences","C&G","0098-3004","Uncertainty-aware ensemble learning and dynamic threshold optimization for landslide susceptibility mapping","2025-08-29","created-proxy","10.1016/j.cageo.2025.106042","https://doi.org/10.1016/j.cageo.2025.106042","no","机器学习 | 仿真、优化与强化学习","ensemble learning | optimization","","","环境监测与灾害风险","landslide","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers, Environment and Urban Systems","CEUS","0198-9715","Urban planning in the age of large language models: Assessing OpenAI o1's performance and capabilities across 556 tasks","2025-08-01","created-proxy","10.1016/j.compenvurbsys.2025.102332","https://doi.org/10.1016/j.compenvurbsys.2025.102332","no","GeoAI 与基础模型","large language model","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers, Environment and Urban Systems","CEUS","0198-9715","Deep contrastive learning for feature alignment: Insights from housing-household relationship inference","2025-08-03","created-proxy","10.1016/j.compenvurbsys.2025.102328","https://doi.org/10.1016/j.compenvurbsys.2025.102328","no","GeoAI 与基础模型","contrastive learning","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","计算地理与城市系统","Computers, Environment and Urban Systems","CEUS","0198-9715","ScaleFC: A scale-aware geographical flow clustering algorithm for heterogeneous origin-destination data","2025-08-20","created-proxy","10.1016/j.compenvurbsys.2025.102338","https://doi.org/10.1016/j.compenvurbsys.2025.102338","no","机器学习 | 空间交互与移动性模型","clustering | origin-destination","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","Spatiotemporal patterns of accessibility and inequality in Hong Kong’s public and private healthcare system: A ten-year longitudinal study","2025-08-05","published-online","10.1177/23998083251366359","https://doi.org/10.1177/23998083251366359","yes","空间统计与空间计量 | 时序与时空建模","spatial autocorrelation | spatiotemporal","","","时间尺度与动态过程","longitudinal","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","Transforming urban planning through machine learning: A study on planning application classification using natural language processing","2025-08-15","published-online","10.1177/23998083251369142","https://doi.org/10.1177/23998083251369142","yes","机器学习","machine learning | classification","","","城市、区域与空间结构","urban analytics","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","A novel approach for estimating sidewalk width from street view images and computer vision","2025-08-20","published-online","10.1177/23998083251369602","https://doi.org/10.1177/23998083251369602","yes","深度学习与神经网络","deep learning","遥感与地球观测数据 | 街景、社交感知与众包数据","aerial imagery | street view","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","Estimating an e-scooter origin-destination model leveraging Yelp POI data for enhanced urban mobility insights","2025-08-20","published-online","10.1177/23998083251369571","https://doi.org/10.1177/23998083251369571","yes","机器学习 | 仿真、优化与强化学习 | 空间交互与移动性模型","random forest | optimization | origin-destination","街景、社交感知与众包数据 | 轨迹与移动性数据","crowdsourced | POI | mobility data","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","Small scale analysis of urban air quality and public health in London, UK, provides insights for targeted interventions","2025-08-20","published-online","10.1177/23998083251370485","https://doi.org/10.1177/23998083251370485","yes","机器学习 | 空间统计与空间计量","clustering | spatial clustering","","","环境监测与灾害风险","exposure","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","城市分析与空间科学","Environment and Planning B: Urban Analytics and City Science","EPB","2399-8091","Assessing preservation boundaries for historic districts: An integrated framework of explainable AI and game theory","2025-08-25","published-online","10.1177/23998083251372246","https://doi.org/10.1177/23998083251372246","yes","深度学习与神经网络","neural network","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","Can large language models generate geospatial code?","2025-08-01","published-online","10.1080/10095020.2025.2535523","https://doi.org/10.1080/10095020.2025.2535523","no","GeoAI 与基础模型","large language model","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","A novel nonparametric adaptive kernel density estimation method for removing nonrandom noise from ICESat-2 photon-counting LiDAR data","2025-08-08","published-online","10.1080/10095020.2025.2539952","https://doi.org/10.1080/10095020.2025.2539952","no","遥感视觉与影像分析","LiDAR","遥感与地球观测数据","LiDAR","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","Accurate mapping of Spartina alterniflora in Fujian Province using phenological traits derived from Landsat time series","2025-08-08","published-online","10.1080/10095020.2025.2540567","https://doi.org/10.1080/10095020.2025.2540567","no","时序与时空建模","time series","遥感与地球观测数据","Landsat","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","Estimating volumetric water salinity in a Tibetan endorheic lake using machine learning and remote sensing","2025-08-08","published-online","10.1080/10095020.2025.2542969","https://doi.org/10.1080/10095020.2025.2542969","no","机器学习","machine learning","遥感与地球观测数据","remote sensing","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","Using social media for environmental insight: a multi-model deep learning framework approach","2025-08-11","published-online","10.1080/10095020.2025.2541877","https://doi.org/10.1080/10095020.2025.2541877","no","深度学习与神经网络","deep learning","街景、社交感知与众包数据","social media","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-08","地理信息科学","Geo-spatial Information Science","GSIS","1993-5153","Spatiotemporal dynamics of ecological environment quality in arid and sandy regions with a particular remote sensing ecological index: a study of the Beijing-Tianjin Sand source region","2025-08-13","published-online","10.1080/10095020.2025.2541875","https://doi.org/10.1080/10095020.2025.2541875","no","时序与时空建模","spatiotemporal","遥感与地球观测数据","remote sensing","时间尺度与动态过程","temporal dynamics","Must match at least one method_family keyword in Crossref title or abstract"
