"month","journal_category","journal","journal_short_name","issn","title","publication_date","date_basis","doi","doi_url","abstract_available","method_family_topics","method_family_keywords","data_source_topics","data_source_keywords","spatiotemporal_context_topics","spatiotemporal_context_keywords","screening_rule"
"2025-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Bicriteria Shapes: Hierarchical Grouping and Aggregation of Polygons with an Efficient Graph-Cut Approach","2025-02-13","published-online","10.1145/3705001","https://doi.org/10.1145/3705001","yes","机器学习 | 图模型与网络方法 | 仿真、优化与强化学习","clustering | graph | optimization","基础地理与城市数据库","building footprint","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","End-to-end Trajectory Generation - Contrasting Deep Generative Models and Language Models","2025-02-13","created-proxy","10.1145/3716892","https://doi.org/10.1145/3716892","yes","深度学习与神经网络 | 时序与时空建模 | 仿真、优化与强化学习","neural network | spatiotemporal | optimization","轨迹与移动性数据","trajectory","城市、区域与空间结构","urban analytics","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Towards Effective, Robust and Utility-preserving Watermarking of GPS Trajectories","2025-02-14","published-online","10.1145/3701558","https://doi.org/10.1145/3701558","yes","时序与时空建模","spatio-temporal | forecasting","轨迹与移动性数据","trajectory | GPS","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","Distributed MobilityDB: A Scalable Moving Object Database Management System","2025-02-24","created-proxy","10.1145/3719202","https://doi.org/10.1145/3719202","yes","时序与时空建模","spatiotemporal","轨迹与移动性数据","trajectory","环境监测与灾害风险","environmental monitoring","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","空间算法","ACM Transactions on Spatial Algorithms and Systems","TSAS","2374-0361","QPredict: Using low quality volunteered geospatial data to evaluate high quality authority data","2025-02-25","published-online","10.1145/3715910","https://doi.org/10.1145/3715910","yes","机器学习","machine learning","街景、社交感知与众包数据 | 基础地理与城市数据库","volunteered geographic information | OpenStreetMap","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","地理学与 GIScience","Annals of GIS","AGIS","1947-5691","A framework for performance analysis of OpenStreetMap data in navigation applications: the case of a well-developed road network in Australia","2025-02-19","published-online","10.1080/19475683.2025.2468184","https://doi.org/10.1080/19475683.2025.2468184","no","图模型与网络方法","road network","基础地理与城市数据库","OpenStreetMap | road network","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Interpretable spatial machine learning for understanding spatial heterogeneity in factors affecting street theft crime","2025-02-01","published","10.1016/j.apgeog.2024.103503","https://doi.org/10.1016/j.apgeog.2024.103503","no","机器学习","machine learning","","","空间尺度、依赖与异质性","spatial heterogeneity","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Reverse estimation of urban mobility patterns during pandemics using agent-based modeling","2025-02-01","published","10.1016/j.apgeog.2024.103492","https://doi.org/10.1016/j.apgeog.2024.103492","no","仿真、优化与强化学习","agent-based model","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Understanding the spatiotemporal response of dockless bike-sharing travel behavior to the small outbreaks of COVID-19","2025-02-01","published","10.1016/j.apgeog.2024.103488","https://doi.org/10.1016/j.apgeog.2024.103488","no","时序与时空建模","spatiotemporal","","","","","Must match at least one method_family keyword in Crossref title or abstract"
"2025-02","地理学与 GIScience","Applied Geography","APG","0143-6228","Assessing spatiotemporal dynamics of sustainable development goals on the Qinghai-Tibet plateau","2025-02-17","created-proxy","10.1016/j.apgeog.2025.103557","https://doi.org/10.1016/j.apgeog.2025.103557","no","时序与时空建模","spatiotemporal","","","时间尺度与动态过程","temporal dynamics","Must match at least one method_family keyword in Crossref title or abstract"
